date,discharge_cfs
2012-12-24,13200
2012-12-25,11500
2012-12-26,12100
2012-12-27,19700
2012-12-28,19000
2012-12-29,14800
2012-12-30,12700
2012-12-31,11400
2013-01-01,10600
2013-01-02,10100
2013-01-03,9720
2013-01-04,9480
2013-01-05,9040
2013-01-06,8510
2013-01-07,8110
2013-01-08,7880
2013-01-09,7970
2013-01-10,8160
2013-01-11,8150
2013-01-12,8330
2013-01-13,10300
2013-01-14,13700
2013-01-15,17000
2013-01-16,23300
2013-01-17,37400
2013-01-18,47500
2013-01-19,39900
2013-01-20,29900
2013-01-21,23900
2013-01-22,20100
2013-01-23,16500
2013-01-24,13400
2013-01-25,11200
2013-01-26,9470
2013-01-27,8940
2013-01-28,8750
2013-01-29,8920
2013-01-30,9150
2013-01-31,64100
2013-02-01,91400
2013-02-02,82100
2013-02-03,49700
2013-02-04,34800
2013-02-05,27800
2013-02-06,23000
2013-02-07,19100
2013-02-08,16800
2013-02-09,15100
2013-02-10,13400
2013-02-11,12700
2013-02-12,12300
2013-02-13,11800
2013-02-14,11500
2013-02-15,11500
2013-02-16,11500
2013-02-17,11200
2013-02-18,10400
2013-02-19,9590
2013-02-20,9250
2013-02-21,8920
2013-02-22,8450
2013-02-23,8120
2013-02-24,7790
2013-02-25,7320
2013-02-26,7190
2013-02-27,11000
2013-02-28,15800
2013-03-01,15700
2013-03-02,16000
2013-03-03,15000
2013-03-04,13500
2013-03-05,12200
2013-03-06,12200
2013-03-07,14100
2013-03-08,14500
2013-03-09,14400
2013-03-10,14700
2013-03-11,14700
2013-03-12,20400
2013-03-13,36200
2013-03-14,43600
2013-03-15,40000
2013-03-16,30400
2013-03-17,24500
2013-03-18,20600
2013-03-19,19600
2013-03-20,18800
2013-03-21,19800
2013-03-22,22400
2013-03-23,21300
2013-03-24,18800
2013-03-25,16800
2013-03-26,16300
2013-03-27,16100
2013-03-28,16300
2013-03-29,16300
2013-03-30,15500
2013-03-31,14600
2013-04-01,14200
2013-04-02,14300
2013-04-03,15300
2013-04-04,16500
2013-04-05,16500
2013-04-06,14900
2013-04-07,13500
2013-04-08,12500
2013-04-09,11400
2013-04-10,10900
2013-04-11,11000
2013-04-12,12200
2013-04-13,13000
2013-04-14,19000
2013-04-15,22300
2013-04-16,18800
2013-04-17,16100
2013-04-18,14700
2013-04-19,13800
2013-04-20,16400
2013-04-21,16100
2013-04-22,17900
2013-04-23,17100
2013-04-24,15300
2013-04-25,13900
2013-04-26,12700
2013-04-27,11600
2013-04-28,10300
2013-04-29,9500
2013-04-30,9210
2013-05-01,9120
2013-05-02,8670
2013-05-03,7960
2013-05-04,7840
2013-05-05,7070
2013-05-06,6560
2013-05-07,6700
2013-05-08,8370
2013-05-09,51400
2013-05-10,89900
2013-05-11,59700
2013-05-12,46100
2013-05-13,38800
2013-05-14,30700
2013-05-15,24200
2013-05-16,20400
2013-05-17,17000
2013-05-18,14800
2013-05-19,12800
2013-05-20,11200
2013-05-21,10200
2013-05-22,9280
2013-05-23,9250
2013-05-24,12600
2013-05-25,13300
2013-05-26,12600
2013-05-27,11100
2013-05-28,9590
2013-05-29,8650
2013-05-30,7630
2013-05-31,7020
2013-06-01,6440
2013-06-02,6040
2013-06-03,8740
2013-06-04,6970
2013-06-05,6330
2013-06-06,5390
2013-06-07,8350
2013-06-08,9130
2013-06-09,7760
2013-06-10,15800
2013-06-11,22400
2013-06-12,18100
2013-06-13,23900
2013-06-14,21700
2013-06-15,17500
2013-06-16,15500
2013-06-17,13800
2013-06-18,11400
2013-06-19,10700
2013-06-20,11400
2013-06-21,10900
2013-06-22,9310
2013-06-23,7870
2013-06-24,6630
2013-06-25,6180
2013-06-26,5630
2013-06-27,5300
2013-06-28,5590
2013-06-29,5600
2013-06-30,5800
2013-07-01,5890
2013-07-02,5190
2013-07-03,6240
2013-07-04,5510
2013-07-05,5020
2013-07-06,4510
2013-07-07,4310
2013-07-08,4290
2013-07-09,4690
2013-07-10,4860
2013-07-11,5160
2013-07-12,8650
2013-07-13,6440
2013-07-14,11600
2013-07-15,12100
2013-07-16,10500
2013-07-17,8160
2013-07-18,6540
2013-07-19,5350
2013-07-20,4600
2013-07-21,4500
2013-07-22,4220
2013-07-23,4580
2013-07-24,6010
2013-07-25,8690
2013-07-26,7710
2013-07-27,5750
2013-07-28,5530
2013-07-29,4530
2013-07-30,4110
2013-07-31,3710
2013-08-01,3670
2013-08-02,3370
2013-08-03,3260
2013-08-04,3210
2013-08-05,3000
2013-08-06,2770
2013-08-07,2860
2013-08-08,2900
2013-08-09,3450
2013-08-10,3130
2013-08-11,3500
2013-08-12,4110
2013-08-13,4640
2013-08-14,4180
2013-08-15,3690
2013-08-16,3610
2013-08-17,3840
2013-08-18,3580
2013-08-19,3090
2013-08-20,2820
2013-08-21,2580
2013-08-22,2540
2013-08-23,2720
2013-08-24,2920
2013-08-25,2800
2013-08-26,3120
2013-08-27,4200
2013-08-28,5020
2013-08-29,4350
2013-08-30,3440
2013-08-31,3010
2013-09-01,3180
2013-09-02,5130
2013-09-03,5000
2013-09-04,4270
2013-09-05,3550
2013-09-06,3020
2013-09-07,2870
2013-09-08,2740
2013-09-09,2500
2013-09-10,2320
2013-09-11,2190
2013-09-12,2540
2013-09-13,3020
2013-09-14,2650
2013-09-15,2210
2013-09-16,1880
2013-09-17,1860
2013-09-18,1860
2013-09-19,1810
2013-09-20,1770
2013-09-21,1830
2013-09-22,2400
2013-09-23,2030
2013-09-24,1990
2013-09-25,2000
2013-09-26,1980
2013-09-27,1980
2013-09-28,1890
2013-09-29,1840
2013-09-30,1710
2013-10-01,1620
2013-10-02,1580
2013-10-03,1590
2013-10-04,1800
2013-10-05,1980
2013-10-06,1650
2013-10-07,1730
2013-10-08,2750
2013-10-09,2210
2013-10-10,2950
2013-10-11,7400
2013-10-12,14700
2013-10-13,20100
2013-10-14,14900
2013-10-15,12200
2013-10-16,9670
2013-10-17,8360
2013-10-18,7130
2013-10-19,5990
2013-10-20,5170
2013-10-21,4590
2013-10-22,4310
2013-10-23,4040
2013-10-24,3690
2013-10-25,3390
2013-10-26,3220
2013-10-27,3060
